# key	zipf — built by export_dictionary.py, do not hand-edit
اضبان	0.00
اضبط	2.55
اضجار	0.00
اضجاع	0.00
اضجر	1.44
اضجع	1.08
اضحاك	2.36
اضحال	0.00
اضحك	3.78
اضحكن	0.00
اضحكوا	2.33
اضحكي	2.40
اضحوكة	2.84
اضحى	3.65
اضحية	2.73
اضخم	3.84
اضداد	2.39
اضر	3.41
اضراء	0.00
اضراب	3.84
اضرار	3.96
اضراس	2.05
اضرب	3.69
اضربتم	0.00
اضربتن	0.00
اضربنا	1.09
اضربي	1.16
اضرحة	3.28
اضرر	0.00
اضررن	0.00
اضرغط	0.00
اضرغطت	0.00
اضرغطط	0.00
اضرغطي	0.00
اضرم	2.91
اضطبن	0.00
اضطجاع	0.00
اضطجع	2.62
اضطر	4.17
اضطراب	4.18
اضطرار	2.51
اضطرام	1.08
اضطرب	2.84
اضطربتم	0.00
اضطربتن	0.00
اضطربنا	0.00
اضطربي	0.00
اضطرر	0.00
اضطرع	0.00
اضطرم	0.00
اضطري	0.00
اضطغن	0.00
اضطلاع	1.77
اضطلع	2.54
اضطهاد	3.76
اضطهد	2.24
اضعاف	4.11
اضعف	3.99
اضعفن	0.00
اضعفوا	0.00
اضعفي	0.00
اضغاث	2.52
اضغان	1.07
اضفاء	3.62
اضفار	0.00
اضفى	2.68
اضل	3.10
اضلاع	3.11
اضلال	1.54
اضلع	2.35
اضلل	0.00
اضللن	0.00
اضم	2.79
اضماء	0.00
اضمار	1.84
اضمامة	0.00
اضمة	0.00
اضمحل	1.99
اضمحلال	2.55
اضمحلت	2.19
اضمحلل	0.00
اضمحلي	0.00
اضمدة	0.00
اضمر	2.41
اضمم	1.12
اضممن	0.00
اضناء	0.00
اضنك	1.32
اضنى	1.58
اضواء	3.92
اضيئت	1.97
اضيئي	1.11
اضياف	0.00
اضيعت	1.24
اضيعي	0.00
اضيفت	3.23
اضيفي	2.70
اضيق	3.43
اطاب	1.82
اطاح	3.50
اطاحة	2.45
اطار	4.85
اطاريح	0.00
اطاع	3.04
اطاعة	2.72
اطاعت	1.76
اطاعوا	2.08
اطاف	1.07
اطاق	2.05
اطال	3.05
اطالة	3.38
اطالت	1.85
اطالوا	1.66
اطاول	0.00
اطايب	2.02
اطباء	4.41
اطباع	1.67
اطباق	3.90
اطبخ	2.78
اطبخة	0.00
اطبخن	0.00
اطبخوا	0.00
اطبخي	2.05
اطبع	2.61
اطبعن	0.00
اطبعوا	1.07
اطبعي	1.61
اطبق	3.21
اطبل	0.00
اطبلن	0.00
اطبلوا	0.00
اطبلي	0.00
اطحل	0.00
اطر	3.33
اطراء	2.55
اطراب	0.00
اطراد	1.95
اطرار	0.00
اطراس	0.00
اطراف	4.33
اطراق	0.00
اطرب	2.13
اطربن	0.00
اطربوا	0.00
اطربي	0.00
اطرح	3.05
اطرحن	0.00
اطرحي	1.63
اطرد	2.79
اطردن	0.00
اطردوا	1.71
اطردي	1.34
اطرش	2.20
اطرف	2.86
اطرق	2.79
اطروحة	3.33
اطرى	1.87
اطرية	0.00
اطريفل	0.00
اطزج	0.00
اطعام	3.62
اطعم	3.10
اطعمة	3.75
اطعمي	0.00
اطغى	1.55
اطف	1.53
اطفؤوا	0.00
اطفئتم	0.00
اطفئتن	0.00
اطفئنا	1.55
اطفئي	1.72
اطفا	2.82
اطفاء	3.83
اطفائي	2.07
اطفائية	1.55
اطفاتم	1.30
اطفاتن	0.00
اطفال	5.17
اطفان	0.00
اطفانا	1.52
اطفح	0.00
اطفون	0.00
اطفي	1.88
اطل	3.16
اطلاء	0.00
اطلاس	1.09
اطلاع	3.61
اطلاق	5.13
اطلال	3.51
اطلالة	3.32
اطلب	4.15
اطلبن	0.00
اطلبوا	2.96
اطلبي	2.91
اطلة	0.00
اطلح	0.00
اطلس	3.44
اطلسي	1.97
اطلع	4.18
اطلق	5.01
اطلقن	0.00
اطلقوا	3.66
اطلقي	2.07
اطلية	0.00
اطم	1.70
اطمئنان	2.81
اطمئنوا	2.21
اطمئني	2.11
اطمار	1.13
اطماع	2.80
اطمان	2.84
اطمانت	2.29
اطمانن	0.00
اطماننا	0.00
اطمانوا	1.61
اطمة	0.00
اطناب	1.58
اطناف	0.00
اطنان	3.52
اطنب	1.57
اطهار	1.83
اطهر	2.29
اطواد	0.00
اطوار	3.37
اطواس	0.00
اطواف	2.03
اطواق	2.52
اطورة	0.00
اطوع	1.88
اطول	4.69
اطوم	0.00
اطوى	0.00
اطيار	1.44
اطياف	3.60
اطيب	3.58
اطير	3.04
اطيعت	0.00
اطيعي	0.00
اطيلت	0.00
اطيلي	1.08
اظارف	0.00
اظافر	3.27
اظاهر	0.00
اظرف	2.80
اظعان	0.00
اظفار	2.08
اظفر	2.16
اظفور	0.00
اظل	3.20
اظلاف	1.15
اظلال	0.00
اظلام	1.68
اظلف	0.00
اظلل	0.00
اظللن	0.00
اظلم	3.46
اظلمتم	0.00
اظلمتن	0.00
اظلمنا	0.00
اظلمي	0.00
اظما	1.46
اظناء	0.00
اظهار	4.26
اظهر	4.54
اظهرن	0.00
اظهروا	2.47
اظهري	1.98
اعاجم	1.39
اعاجيب	2.02
اعاد	4.23
اعادة	5.28
اعادت	3.95
اعادوا	3.32
اعاذ	0.00
اعاذة	0.00
اعار	2.12
اعارة	3.24
اعارت	1.24
اعارق	0.00
اعاروا	0.00
اعاريب	0.00
اعاريض	1.20
اعازز	0.00
اعاسر	0.00
اعاش	0.00
اعاشة	2.12
اعاصير	2.77
اعاض	0.00
اعاظم	1.89
اعاق	2.72
اعاقة	3.83
اعال	1.32
اعالة	3.17
اعالي	3.42
اعامم	0.00
اعان	2.72
اعانة	3.08
اعانف	0.00
اعباء	3.36
اعباب	0.00
اعبد	2.18
اعبدن	0.00
اعبدوا	2.83
اعبدي	0.00
اعبر	3.25
اعبرن	0.00
اعبروا	1.73
اعبري	1.84
اعبس	0.00
اعبسن	0.00
اعبسوا	0.00
اعبسي	0.00
اعبط	0.00
اعبل	0.00
اعتاء	0.00
اعتاد	4.07
اعتادت	3.72
اعتادوا	3.45
اعتادي	0.00
اعتاض	1.10
اعتاق	1.90
اعتبار	4.51
اعتبارا	4.24
اعتباط	0.00
اعتباطا	2.01
اعتباطي	2.44
اعتبر	4.51
اعتبط	0.00
اعتجن	0.00
اعتد	2.33
اعتداء	4.04
اعتداد	1.59
اعتدال	2.85
اعتدة	1.14
اعتدل	2.34
اعتدى	3.35
اعتذار	3.82
اعتذر	4.08
اعتراء	0.00
اعتراش	0.00
اعتراض	4.08
اعتراف	4.13
اعتراك	1.97
اعترش	0.00
اعترض	3.76
اعترف	4.35
اعترفي	2.47
اعترك	0.00
اعترى	2.14
اعتز	2.61
اعتزاز	2.64
اعتزال	3.37
اعتزام	2.14
اعتزل	3.44
اعتزم	2.44
اعتزمي	0.00
اعتشاب	0.00
اعتشب	0.00
اعتصاب	1.08
اعتصار	1.62
اعتصام	3.72
اعتصب	0.00
اعتصر	1.86
اعتصم	2.53
اعتطف	0.00
اعتق	2.97
اعتقاد	3.87
اعتقال	4.53
اعتقد	4.57
اعتقدي	0.00
اعتقل	4.05
اعتقم	0.00
اعتكاف	2.03
اعتكد	0.00
اعتكف	2.56
اعتل	2.00
اعتلاء	2.87
اعتلال	3.14
اعتلى	2.95
اعتم	2.08
اعتماد	4.35
اعتمار	1.53
اعتمد	4.20
اعتمر	2.61
اعتمري	0.00
اعتمل	0.00
اعتملتم	0.00
اعتملتن	0.00
اعتملنا	0.00
اعتملي	0.00
اعتن	2.70
اعتناء	2.43
اعتناق	3.54
اعتنت	2.62
اعتنق	3.09
اعتنى	3.22
اعتنيتم	0.00
اعتنيتن	0.00
اعتنينا	1.21
اعتور	0.00
اعتى	3.13
اعتياد	2.46
اعتيد	1.44
اعتيدت	0.00
اعتيدوا	0.00
اعجاب	3.98
اعجاز	3.07
اعجاف	0.00
اعجام	1.26
اعجب	3.83
اعجبن	0.00
اعجبوا	1.86
اعجبي	1.07
اعجز	3.28
اعجف	1.14
اعجل	2.17
اعجلن	0.00
اعجلوا	0.00
اعجلي	0.00
اعجم	1.56
اعجمي	2.49
اعجوبة	2.93
اعد	4.62
اعداء	4.35
اعداد	4.70
اعدادات	3.39
اعدال	0.00
اعدام	4.05
اعدد	1.94
اعددن	0.00
اعدل	3.09
اعدم	3.42
اعدمن	0.00
اعدموا	2.35
اعدمي	0.00
اعدى	2.32
اعدي	2.69
اعذار	3.35
اعذاق	0.00
اعذب	3.02
اعذبة	0.00
اعذر	2.80
اعراء	0.00
اعراب	2.97
اعرابي	3.04
اعراس	2.62
اعراش	1.08
اعراص	0.00
اعراض	4.31
اعراف	2.84
اعراق	3.00
اعرب	4.20
اعربي	1.16
اعرج	2.96
اعرس	1.67
اعرض	3.79
اعرف	4.94
اعرفن	0.00
اعرفوا	2.54
اعرفي	2.77
اعرق	3.36
اعرقة	0.00
اعرقتم	0.00
اعرقتن	0.00
اعرقنا	0.00
اعرقي	0.00
اعرن	0.00
اعرنكس	0.00
اعز	4.03
اعزاء	2.60
اعزاب	0.00
اعزاز	2.39
اعزب	3.14
اعزة	2.15
اعزر	0.00
اعزرن	0.00
اعزروا	0.00
اعزري	0.00
اعزل	2.95
اعزلن	0.00
اعزلوا	1.24
اعزلي	0.00
اعزم	1.86
اعزمن	0.00
اعزموا	1.04
اعزمي	1.08
اعساس	0.00
اعسال	0.00
اعسر	2.72
اعش	2.27
اعشاب	3.60
اعشار	2.87
اعشاش	2.63
اعشب	0.00
اعشر	0.00
اعشق	2.86
اعشقن	0.00
اعشقوا	0.00
اعشقي	0.00
اعشوشب	0.00
اعشى	2.05
اعشية	0.00
اعشيشاب	0.00
اعصاب	3.54
اعصار	3.91
اعصر	2.29
اعصف	1.34
اعصم	0.00
اعصمة	0.00
اعصوصب	0.00
اعض	2.69
اعضاء	5.30
اعضاد	1.10
اعضد	0.00
اعضض	0.00
اعضضن	0.00
اعطاء	4.52
اعطاب	2.29
اعطاش	0.00
اعطاف	1.16
اعطال	2.72
اعطب	1.50
اعطت	3.99
اعطش	1.84
اعطف	1.76
اعطفة	0.00
اعطل	1.72
اعطلن	0.00
اعطلوا	0.00
اعطلي	0.00
اعطى	4.44
اعطية	1.85
اعظ	1.91
اعظم	4.71
اعف	2.42
اعفاء	3.49
اعفار	0.00
اعفان	0.00
اعفة	1.01
اعفج	0.00
اعفجن	0.00
اعفجوا	0.00
اعفجي	0.00
اعفر	1.78
اعفن	1.24
اعفون	0.00
اعفى	2.56
اعفي	2.24
اعقاب	4.38
اعقار	0.00
اعقام	0.00
اعقب	3.11
اعقد	3.03
اعقف	0.00
اعقل	2.89
اعقم	1.34
اعكر	1.54
اعكس	2.30
اعكسن	0.00
اعكسوا	0.00
اعكسي	1.02
اعل	2.69
اعلاء	3.15
اعلاج	1.26
اعلاف	2.53
اعلاق	0.00
اعلاك	1.41
اعلال	1.46
اعلام	4.46
اعلامي	4.04
اعلامية	4.35
اعلان	4.86
اعلم	5.20
اعلمن	1.14
اعلموا	3.06
اعلمي	2.75
اعلن	5.11
اعلني	1.40
اعلوا	0.00
اعلوط	0.00
اعلولى	0.00
اعلون	0.00
اعلى	5.18
اعلي	3.44
اعلين	0.00
اعم	3.06
اعماء	1.32
اعماد	0.00
اعمار	3.70
اعماق	4.15
اعمال	5.23
اعمام	2.46
اعمد	2.00
اعمدة	3.91
اعمر	2.47
اعمري	0.00
اعمش	0.00
اعمق	4.02
اعمقن	0.00
اعمقوا	0.00
اعمقي	0.00
اعمل	4.54
اعملن	0.00
اعملوا	3.13
اعملي	3.07
اعمم	1.60
اعممن	0.00
اعموا	0.00
اعمى	3.95
اعمي	2.59
اعمين	0.00
اعن	2.62
اعناب	1.80
اعناد	0.00
اعناق	2.80
اعنان	0.00
اعنة	1.44
اعند	1.83
اعنز	1.12
اعنس	0.00
اعنف	3.22
اعنق	1.27
اعنوا	0.00
اعنى	2.57
اعني	3.70
اعنين	0.00
اعهد	1.68
اعهدن	0.00
اعهدوا	0.00
اعهدي	0.00
اعواد	3.19
اعواض	0.00
اعوام	4.66
اعوان	3.44
اعوج	2.69
اعوجاج	2.76
اعوجت	1.39
اعوجج	0.00
اعوججتم	0.00
اعوججتن	0.00
اعوججنا	1.31
اعوجوا	0.00
اعوجي	0.00
اعور	2.72
اعورار	0.00
اعورن	0.00
اعوروا	0.00
اعوري	0.00
اعوز	1.20
اعوزاز	0.00
اعوص	0.00
اعول	2.39
اعوم	1.94
اعيا	2.04
اعياء	2.66
اعياد	3.89
اعيار	0.00
اعيان	3.33
اعيدت	2.95
اعيدي	2.43
اعيرت	1.26
اعيري	0.00
اعين	4.23
اغاث	1.86
اغاثة	3.52
اغار	3.41
اغارة	2.17
اغاريد	1.39
اغاريض	0.00
اغازر	0.00
اغاض	0.00
اغاظ	1.59
اغاظة	2.35
اغال	0.00
اغالي	1.57
اغاليق	0.00
اغام	0.00
اغان	3.71
اغاني	4.31
اغب	1.51
اغباب	0.00
اغباش	0.00
اغبر	2.51
اغبش	1.18
اغبوا	0.00
اغبى	3.56
اغبي	1.91
اغبياء	3.69
اغبين	0.00
اغتاب	1.90
اغتار	0.00
اغتاظ	1.73
اغتال	2.91
اغتباط	0.00
اغتبط	1.21
اغتدى	0.00
اغتذى	0.00
اغتر	2.30
اغتراب	2.45
اغترار	1.51
اغتراف	1.31
اغترب	1.90
اغترف	1.70
اغتسال	1.90
اغتسل	3.03
اغتصاب	4.27
اغتصب	3.24
اغتصبي	0.00
اغتفار	0.00
اغتفر	1.13
اغتلم	0.00
اغتلمتم	0.00
اغتلمتن	0.00
اغتلمنا	0.00
اغتلمي	0.00
اغتم	1.72
اغتمام	0.00
اغتمس	0.00
اغتناء	0.00
اغتنام	2.97
اغتنم	3.03
اغتنى	2.16
اغتياب	1.16
اغتيال	4.47
اغدار	0.00
اغداق	1.49
اغدق	2.35
اغدودن	0.00
اغدية	0.00
اغذية	3.31
اغر	2.09
اغراء	3.49
اغرار	1.02
اغراس	1.45
اغراض	3.86
اغراق	3.42
اغرب	3.87
اغربة	1.58
اغربن	0.00
اغربوا	1.11
اغربي	2.12
اغرة	1.29
اغرد	1.82
اغرز	1.30
اغرس	2.33
اغرق	3.50
اغرم	2.46
اغرمي	0.00
اغرندى	0.00
اغرود	0.00
اغرورق	0.00
اغرى	2.45
اغري	2.30
اغريقي	2.43
اغريل	0.00
اغزر	2.19
اغزل	1.71
اغسال	0.00
اغسطس	5.19
اغسق	0.00
اغسل	3.21
اغسلن	0.00
اغسلوا	2.05
اغسلي	2.67
اغشى	1.91
اغشية	2.66
اغصان	3.21
اغصن	0.00
اغضب	3.69
اغضبن	0.00
اغضبوا	1.36
اغضبي	0.00
اغضة	0.00
اغضن	0.00
اغضى	1.17
اغطش	0.00
اغطى	1.17
اغطية	3.54
اغفار	0.00
اغفال	3.21
اغفر	3.76
اغفرن	0.00
اغفروا	1.99
اغفري	1.86
اغفل	3.01
اغفى	1.85
اغل	2.03
اغلاط	2.26
اغلاق	4.56
اغلال	2.61
اغلب	4.78
اغلبية	4.20
اغلط	1.77
اغلطن	0.00
اغلطوا	0.00
اغلطي	0.00
اغلظ	2.26
اغلف	1.84
اغلق	4.17
اغلقي	1.92
اغلم	0.00
اغلمة	0.00
اغلمن	0.00
اغلموا	0.00
اغلمي	0.00
اغلنثى	0.00
اغلوا	0.00
اغلولب	0.00
اغلى	3.94
اغلي	2.62
اغليق	0.00
اغلين	0.00
اغم	1.01
اغماء	2.92
اغماد	1.13
اغمار	1.09
اغماض	2.38
اغماضة	1.39
اغمد	1.63
اغمر	1.86
اغمرن	0.00
اغمروا	0.00
اغمري	0.00
اغمض	3.28
اغمط	0.00
اغمى	2.34
اغمي	2.73
اغن	1.92
اغناء	2.92
اغنام	2.99
اغنان	0.00
اغنى	4.04
اغنياء	3.44
اغنية	4.79
اغواء	2.86
اغوار	2.70
اغوانا	1.37
اغوى	2.19
اغوياء	0.00
اغيا	1.34
اغيار	1.63
اغياض	0.00
اغيد	1.32
اغير	3.74
اغيم	0.00
افؤل	0.00
افئدة	2.85
افاء	1.82
افائك	0.00
افاتار	2.86
افاح	0.00
افاخ	0.00
افاخم	0.00
افاد	4.14
افادة	3.53
افادت	4.25
افادوا	2.60
افاره	0.00
افاريز	1.36
افاصح	0.00
افاض	2.21
افاضة	1.58
افاضل	2.49
افاع	1.88
افاعي	2.78
افاعيل	1.57
افاق	3.78
افاك	2.16
افاكه	0.00
افاكيه	0.00
افانين	1.79
افاويق	0.00
افاويه	0.00
افة	3.45
افت	1.49
افتاء	2.09
افتار	2.10
افتتاح	4.55
افتتاحي	2.40
افتتان	2.27
افتتح	4.15
افتتحي	0.00
افتتن	2.13
افتح	4.48
افتحص	0.00
افتحل	0.00
افتحن	0.00
افتحوا	3.04
افتحي	3.05
افتخار	2.57
افتخر	2.86
افتدى	1.94
افتر	2.37
افتراء	2.84
افترار	0.00
افتراس	2.50
افتراش	1.18
افتراض	3.92
افتراضي	3.71
افتراع	0.00
افتراق	2.42
افترس	1.92
افترش	1.55
افترض	3.65
افترق	2.50
افترى	2.74
افتص	0.00
افتصاد	0.00
افتصد	0.00
افتضاح	2.24
افتضح	2.00
افتضخ	0.00
افتعال	2.88
افتعل	2.49
افتعلي	0.00
افتق	0.00
افتقاد	3.00
افتقار	3.13
افتقد	3.30
افتقر	2.93
افتقرتم	0.00
افتقرتن	0.00
افتقرنا	0.00
افتقري	0.00
افتكر	2.35
افتكري	0.00
افتل	1.48
افتلى	0.00
افتن	1.52
افتنان	0.00
افتى	3.25
افتيمون	0.00
افج	0.00
افجاع	0.00
افجر	2.52
افجرتم	0.00
افجرتن	0.00
افجرن	0.00
افجرنا	0.00
افجروا	0.00
افجري	0.00
افجع	1.75
افحام	1.96
افحج	1.15
افحش	1.85
افحشن	0.00
افحشوا	0.00
افحشي	0.00
افحم	1.47
افخ	0.00
افخاذ	2.57
افخر	3.15
افخم	3.18
افد	1.60
افدنة	2.34
افدى	1.16
افدية	0.00
افذاذ	1.98
افر	2.64
افراج	2.70
افراح	1.24
افراخ	2.01
افراد	5.02
افراز	3.65
افراط	2.90
افراغ	3.11
افراغة	0.00
افران	3.00
افرج	3.54
افرجن	0.00
افرجوا	1.80
افرجي	0.00
افرح	3.21
افرحن	0.00
افرحوا	2.33
افرحي	2.11
افرخ	0.00
افرد	2.87
افرر	0.00
افررن	0.00
افرز	2.46
افرش	2.18
افرشة	1.74
افرض	2.56
افرضن	0.00
افرضوا	1.34
افرضي	1.26
افرط	2.83
افرع	3.28
افرغ	3.47
افرق	2.52
افرقة	1.71
افرك	2.05
افرم	1.32
افرنج	0.00
افرنجي	1.59
افرند	0.00
افرندات	0.00
افره	1.04
افريز	1.75
افريقي	3.50
افريقيا	4.68
افريقية	3.79
افز	2.32
افزاز	0.00
افزاع	1.60
افزع	2.30
افساد	3.40
افسال	0.00
افسح	2.86
افسد	3.54
افسس	2.90
افسل	0.00
افسنتين	1.49
افشاء	2.84
افشرج	0.00
افشل	3.49
افشى	2.58
افصاح	2.70
افصح	3.41
افصحن	0.00
افصحوا	1.30
افصحي	1.03
افضال	2.34
افضل	5.66
افضلية	3.54
افضى	3.00
افضية	1.16
افطار	3.46
افطام	0.00
افطح	0.00
افطر	2.91
افطرتم	0.00
افطرتن	0.00
افطرن	0.00
افطرنا	0.00
افطروا	1.16
افطري	1.13
افطس	2.01
افطم	0.00
افظ	0.00
افظاظ	0.00
افظع	3.10
افعال	4.14
افعام	0.00
افعل	4.22
افعلن	0.00
افعلوا	2.68
افعلي	2.53
افعم	0.00
افعوان	1.20
افعى	3.38
افغان	3.30
افغاني	3.32
افف	1.16
افق	3.84
افقار	2.03
افقد	3.74
افقدن	0.00
افقدوا	1.09
افقدي	1.17
افقر	3.34
افقري	0.00
افقس	0.00
افقسن	0.00
افقسوا	0.00
افقسي	0.00
افقع	1.57
افقم	0.00
افقه	2.87
افقي	3.17
افك	2.75
افكار	4.55
افكة	0.00
افكر	4.41
افكرن	0.00
افكروا	0.00
افكري	0.00
افكه	1.72
افكوهة	0.00
افل	2.49
افلات	2.52
افلاح	0.00
افلاذ	1.17
افلاس	3.35
افلاطون	3.45
افلاق	0.00
افلاك	2.28
افلام	4.79
افلت	3.07
افلج	1.58
افلح	3.59
افلحي	0.00
افلس	2.69
افلى	0.00
افمام	0.00
افن	1.32
افناء	2.26
افناد	0.00
افنان	2.71
افنت	1.99
افندي	3.44
افنون	1.12
افنى	2.74
افنية	2.11
افهام	1.65
افهد	0.00
افهم	4.29
افهمن	0.00
افهموا	2.35
افهمي	2.51
افواج	3.28
افواد	0.00
افواق	0.00
افواه	3.47
افوكادو	2.30
افول	2.54
افوه	1.04
افياش	1.39
افيال	2.48
افيح	0.00
افيد	2.81
افيدت	0.00
افيدي	0.00
افيش	1.92
افيكة	0.00
افيون	3.03
اقئ	0.00
اقابح	0.00
اقاح	0.00
اقاحي	0.00
اقاد	1.38
اقادر	1.15
اقادم	0.00
اقارئ	0.00
اقارب	3.81
اقاسي	1.83
اقاص	0.00
اقاصي	2.72
اقاصير	0.00
اقاصيص	1.99
اقال	3.29
اقالة	3.81
اقالل	0.00
اقاليم	3.39
اقام	4.15
اقامة	4.61
اقامت	3.91
اقاموا	3.54
اقانيم	2.15
اقاوم	3.28
اقاوي	0.00
اقاويل	2.83
اقباء	0.00
اقباب	0.00
اقبار	1.21
اقباس	1.25
اقباط	3.35
اقبال	3.83
اقبح	3.24
اقبحن	0.00
اقبحوا	0.00
اقبحي	0.00
اقبر	1.46
اقبري	0.00
اقبس	0.00
اقبض	2.50
اقبضن	0.00
اقبضوا	1.63
اقبضي	1.14
اقبل	4.22
اقبلن	0.00
اقبلوا	2.31
اقبلي	2.63
اقبية	2.91
اقتات	1.76
اقتاد	1.71
اقتال	0.00
اقتباس	3.74
اقتبس	3.37
اقتبل	0.00
اقتبلي	0.00
اقتتال	2.78
اقتتل	1.76
اقتتلي	0.00
اقتحام	4.21
اقتحم	3.78
اقتداء	2.69
اقتدار	2.38
اقتدر	0.00
اقتدى	2.05
اقتر	0.00
اقترا	0.00
اقتراب	3.99
اقتراح	4.34
اقتراض	2.93
اقتراع	3.45
اقتراف	2.60
اقترب	4.10
اقتربتم	1.30
اقتربتن	0.00
اقتربنا	2.93
اقتربي	2.55
اقترح	4.35
اقترحي	1.68
اقترض	2.54
اقترضي	0.00
اقترع	1.35
اقترف	2.88
اقترن	2.97
اقتسام	2.70
اقتسم	2.11
اقتص	2.03
اقتصاد	4.38
اقتصادي	4.21
اقتصار	2.51
اقتصد	1.89
اقتصدي	0.00
اقتصر	3.47
اقتض	0.00
اقتضاء	2.30
اقتضب	0.00
اقتضبي	0.00
اقتضت	2.82
اقتضى	3.03
اقتط	0.00
اقتطاع	2.91
اقتطاف	1.89
اقتطط	0.00
اقتطع	2.71
اقتطف	1.43
اقتطي	0.00
اقتعد	0.00
اقتفاء	2.69
اقتفى	2.08
اقتل	3.41
اقتلاع	2.96
اقتلع	2.42
اقتلن	0.00
اقتلوا	3.19
اقتلي	1.44
اقتم	1.67
اقتناء	3.45
اقتناص	2.71
اقتناع	2.87
اقتنص	2.28
اقتنع	3.41
اقتنعتم	0.00
اقتنعتن	0.00
اقتنعنا	1.93
اقتنعي	1.20
اقتنى	2.57
اقتوى	0.00
اقتيات	1.04
اقتياد	2.27
اقحاح	1.69
اقحاف	0.00
اقحام	3.03
اقحم	2.48
اقحوان	2.34
اقداح	2.40
اقدار	2.88
اقدام	4.07
اقدد	0.00
اقددن	0.00
اقدر	4.60
اقدس	3.22
اقدسن	0.00
اقدسوا	0.00
اقدسي	0.00
اقدم	4.86
اقدمون	0.00
اقدمية	2.35
اقذاء	0.00
اقذار	1.64
اقذر	2.88
اقذع	1.28
اقذف	2.86
اقذفن	0.00
اقذفوا	0.00
اقذفي	0.00
اقذلة	0.00
اقذى	0.00
اقر	4.20
اقرؤوا	2.56
اقرئي	2.47
اقرا	4.58
اقراء	2.46
اقرار	4.03
اقراص	3.91
اقراض	2.81
اقراط	2.71
اقران	2.15
اقرب	4.80
اقرباء	3.41
اقربة	0.00
اقرح	1.16
اقرحة	0.00
اقرس	0.00
اقرض	2.26
اقرضي	0.00
اقرع	2.62
اقرف	2.11
اقرن	2.33
اقري	1.93
اقزام	2.90
اقساط	3.17
اقسام	4.23
اقسس	0.00
اقسسن	0.00
اقسط	1.13
اقسم	4.42
اقسمن	0.00
اقسموا	2.27
اقسمي	1.63
اقسى	3.80
اقشاب	0.00
اقشع	0.00
اقشعر	2.06
اقشعرار	0.00
اقشعرت	0.00
اقشعرر	0.00
اقشعري	0.00
اقصاء	3.62
اقصار	0.00
اقصب	0.00
اقصبن	0.00
اقصبوا	0.00
اقصبي	0.00
اقصر	4.06
اقصص	1.32
اقصصن	0.00
اقصوصة	1.88
اقصى	4.64
اقض	3.20
اقضاض	0.00
اقضب	0.00
اقضبن	0.00
اقضبوا	0.00
اقضبي	0.00
اقضوا	2.26
اقضى	3.06
اقضي	3.43
اقضية	2.36
اقضين	0.00
اقط	2.00
اقطاب	3.21
اقطار	3.68
اقطاط	0.00
اقطاع	2.03
اقطاعة	1.32
اقطاعي	2.16
اقطاعية	2.37
اقطان	1.38
اقطب	0.00
اقطبن	0.00
اقطبوا	0.00
اقطبي	0.00
اقطر	1.55
اقطرن	0.00
اقطروا	0.00
اقطري	0.00
اقطط	0.00
اقططن	0.00
اقطع	3.58
اقطعن	0.00
اقطعوا	2.28
اقطعي	2.43
اقطف	2.26
اقطنوا	0.00
اقطني	0.00
اقطوطى	0.00
اقعاد	0.00
اقعد	2.79
اقعدن	0.00
اقعدوا	2.00
اقعدي	2.12
اقعر	0.00
اقعرن	0.00
اقعروا	0.00
اقعري	0.00
اقعس	0.00
اقعى	0.00
اقف	3.74
اقفاء	0.00
اقفار	1.36
اقفاص	3.12
اقفال	3.36
اقفر	1.37
اقفز	2.28
اقفزن	0.00
اقفزوا	0.00
اقفزي	0.00
اقفل	3.06
اقفلي	1.35
اقفى	1.36
اقفية	0.00
اقل	5.37
اقلاع	3.27
اقلاق	1.83
اقلام	3.65
اقلب	3.00
اقلبن	0.00
اقلبوا	1.79
اقلبي	2.13
اقلع	2.81
اقلعف	0.00
اقلف	0.00
اقلق	3.28
اقلقن	0.00
اقلقوا	1.29
اقلقي	0.00
اقلم	0.00
اقلمن	0.00
اقلموا	0.00
اقلمي	0.00
اقلون	0.00
اقلى	1.01
اقلي	2.19
اقلية	3.95
اقليد	1.44
اقليدس	2.42
اقليل	0.00
اقليم	4.59
اقليمي	3.66
اقليميا	3.62
اقليمية	4.03
اقم	3.61
اقمار	3.36
اقماط	0.00
اقماع	2.22
اقمح	0.00
اقمر	1.13
اقمرتم	0.00
اقمرتن	0.00
اقمرنا	0.00
اقمري	0.00
اقمشة	3.23
اقمصة	2.18
اقمع	1.86
اقناء	0.00
اقناط	0.00
اقناع	4.14
اقنثا	0.00
اقنط	1.08
اقنع	3.52
اقنعة	3.67
اقنعن	0.00
اقنعوا	1.83
اقنعي	1.63
اقنوم	1.87
اقنى	1.76
اقنيز	0.00
اقو	2.26
اقواء	0.00
اقواب	0.00
اقوات	1.55
اقواس	2.95
اقوال	4.04
اقوام	3.17
اقود	3.45
اقول	5.00
اقوم	4.38
اقووا	0.00
اقوى	4.82
اقوي	3.55
اقوياء	3.76
اقوين	0.00
اقى	1.11
اقياظ	0.00
اقيان	0.00
اقيس	2.37
اقيسة	1.11
اقيمت	4.37
اقيمي	1.16
اكا	0.00
اكابر	3.20
اكاثر	0.00
اكادير	3.47
اكاديمي	3.66
اكاذيب	3.65
اكار	2.10
اكارة	0.00
اكارع	0.00
اكارم	1.31
اكاريم	0.00
اكاسرة	0.00
اكاف	0.00
اكافئ	1.56
